trade_id,asset,group,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,hard_sl,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r
6,OP,C,SHORT,2026-03-22T07:01:10.209881+00:00,2026-03-22T07:10:22.711700+00:00,0.1188,0.118580581353846,5m,30,0.9340467801581702,0.8419486412263161,3,210.0,0.1193571428571428,ADAPTIVE_TRAIL_HIT,1,0.15,0.5541,1.16,0.934
2,ICP,B,SHORT,2026-03-22T07:01:10.209881+00:00,2026-03-22T07:10:21.761211+00:00,2.431,2.4244834008737914,5m,30,0.9112241875129896,0.936812713877661,3,135.0,2.439214285714286,ADAPTIVE_TRAIL_HIT,1,0.15,0.8042,1.09,0.9112
4,BONK,C,SHORT,2026-03-22T07:01:10.209881+00:00,2026-03-22T07:10:22.241187+00:00,5.8e-06,5.7905882529583376e-06,5m,28,0.9230348514196236,0.9244271697001464,3,157.5,5.846428571428573e-06,ADAPTIVE_TRAIL_HIT,1,0.15,0.4868,0.77,0.923
1,GRT,B,SHORT,2026-03-22T07:01:10.209881+00:00,2026-03-22T07:03:20.466470+00:00,0.02523,0.0253192857142857,5m,29,0.9312429395234624,0.92369387796243,3,180.0,0.0253192857142857,HARD_SL_HIT,0,0.04,-1.0617,-1.91,0.9312
5,FLOKI,C,SHORT,2026-03-22T07:01:10.209881+00:00,2026-03-22T07:10:22.481065+00:00,2.891e-05,2.882713825485118e-05,5m,30,0.8869044830090025,0.9000742127819293,2,105.0,2.9060892857142854e-05,ADAPTIVE_TRAIL_HIT,1,0.15,0.5732,0.6,0.8869
3,STX,B,SHORT,2026-03-22T07:01:10.209881+00:00,2026-03-22T07:10:22.009223+00:00,0.2394,0.239135627780697,5m,29,0.949775330823762,0.9439758437162112,3,180.0,0.24015,ADAPTIVE_TRAIL_HIT,1,0.15,0.3313,0.6,0.9498
7,GRT,B,SHORT,2026-03-22T09:01:09.904735+00:00,2026-03-22T09:10:10.586176+00:00,0.02497,0.024910697293451,5m,25,0.9510946507444744,0.915712346995894,5,300.0,0.0251110714285714,ADAPTIVE_TRAIL_HIT,1,0.15,1.1875,3.56,0.9511
8,XRP,A,SHORT,2026-03-22T12:01:08.682330+00:00,2026-03-22T12:10:32.037953+00:00,1.3909,1.3881384078000885,5m,103,0.963327152001742,0.8973472819177246,5,350.0,1.3998839285714286,ADAPTIVE_TRAIL_HIT,1,0.16,0.9927,3.47,0.9633
12,ICP,B,SHORT,2026-03-22T12:01:08.682330+00:00,2026-03-22T12:10:32.765900+00:00,2.398,2.400205631539917,5m,104,0.9368888106930566,0.89906078976827,3,135.0,2.40925,ADAPTIVE_TRAIL_HIT,1,0.16,-0.2759,-0.37,0.9373
13,SUI,C,SHORT,2026-03-22T12:01:08.682330+00:00,2026-03-22T12:10:33.046012+00:00,0.9188,0.9189411941446888,5m,95,0.9562398829663016,0.9161286619130412,5,350.0,0.9248589285714284,ADAPTIVE_TRAIL_HIT,1,0.16,-0.0768,-0.27,0.9562
